30108
ENSGALG00010000711	SPRY2	protein_coding
ENSGALG00010000715	PCDH20	protein_coding
ENSGALG00010000717	NDFIP2	protein_coding
ENSGALG00010000720	RBM26	protein_coding
ENSGALG00010000724	OBI1	protein_coding
ENSGALG00010000726	POU4F1	protein_coding
ENSGALG00010000729	EDNRB	protein_coding
ENSGALG00010000734	SLAIN1	protein_coding
ENSGALG00010000757	ENSGALG00010000757	protein_coding
ENSGALG00010000762	ENSGALG00010000762	protein_coding
ENSGALG00010000777	MYCBP2	protein_coding
ENSGALG00010000784	FBXL3	protein_coding
ENSGALG00010000785	CLN5	protein_coding
ENSGALG00010000788	GATD3AL1	protein_coding
ENSGALG00010000791	ACOD1	protein_coding
ENSGALG00010000793	ENSGALG00010000793	protein_coding
ENSGALG00010000795	ENSGALG00010000795	protein_coding
ENSGALG00010000796	ENSGALG00010000796	protein_coding
ENSGALG00010000800	LMO7	protein_coding
ENSGALG00010000804	ENSGALG00010000804	protein_coding
ENSGALG00010000810	UCHL3	protein_coding
ENSGALG00010000812	ENSGALG00010000812	protein_coding
ENSGALG00010000816	TBC1D4	protein_coding
ENSGALG00010000818	KLF12	protein_coding
ENSGALG00010000820	KLF5	protein_coding
ENSGALG00010000823	PIBF1	protein_coding
ENSGALG00010000843	DIS3	protein_coding
ENSGALG00010000859	BORA	protein_coding
ENSGALG00010000864	MZT1	protein_coding
ENSGALG00010000870	DACH1	protein_coding
ENSGALG00010000876	KLHL1	protein_coding
ENSGALG00010000901	PCDH9	protein_coding
ENSGALG00010000902	ENSGALG00010000902	lncRNA
ENSGALG00010000903	ENSGALG00010000903	lncRNA
ENSGALG00010000905	ENSGALG00010000905	lncRNA
ENSGALG00010000906	ENSGALG00010000906	lncRNA
ENSGALG00010000907	ENSGALG00010000907	lncRNA
ENSGALG00010000908	ENSGALG00010000908	lncRNA
ENSGALG00010000910	ENSGALG00010000910	lncRNA
ENSGALG00010000912	ENSGALG00010000912	lncRNA
ENSGALG00010000913	ENSGALG00010000913	lncRNA
ENSGALG00010000914	ENSGALG00010000914	lncRNA
ENSGALG00010000916	ENSGALG00010000916	lncRNA
ENSGALG00010000917	ENSGALG00010000917	lncRNA
ENSGALG00010000918	ENSGALG00010000918	lncRNA
ENSGALG00010000920	ENSGALG00010000920	lncRNA
ENSGALG00010000921	ENSGALG00010000921	lncRNA
ENSGALG00010000922	ENSGALG00010000922	lncRNA
ENSGALG00010000923	ENSGALG00010000923	lncRNA
ENSGALG00010000925	ENSGALG00010000925	lncRNA
ENSGALG00010000926	ENSGALG00010000926	lncRNA
ENSGALG00010000927	ENSGALG00010000927	lncRNA
ENSGALG00010000928	ENSGALG00010000928	lncRNA
ENSGALG00010000930	ENSGALG00010000930	lncRNA
ENSGALG00010000931	ENSGALG00010000931	lncRNA
ENSGALG00010000932	ENSGALG00010000932	lncRNA
ENSGALG00010000933	ENSGALG00010000933	lncRNA
ENSGALG00010000935	ENSGALG00010000935	lncRNA
ENSGALG00010000936	ENSGALG00010000936	lncRNA
ENSGALG00010000938	ENSGALG00010000938	lncRNA
ENSGALG00010000939	ENSGALG00010000939	lncRNA
ENSGALG00010000941	ENSGALG00010000941	lncRNA
ENSGALG00010000942	ENSGALG00010000942	lncRNA
ENSGALG00010000943	ENSGALG00010000943	lncRNA
ENSGALG00010000944	ENSGALG00010000944	lncRNA
ENSGALG00010000947	ENSGALG00010000947	lncRNA
ENSGALG00010000948	ENSGALG00010000948	lncRNA
